Category,Name,Platform,Website,Audience_Size,Contact_Email,Contact_Type,Email_Verified,Audience_Level,Outreach_Angle,Priority,Email_Subject,Email_Body
National Federation,Australian Chess Federation (ACF) - Secretary,Website,auschess.org.au,10000+ registered Australian players,secretary@auschess.org.au,Direct Email,YES - confirmed,All levels,Free platform for Australian players + coach commissions,HIGH,Free chess platform for Australian players - from a Sydney dev,"Hi Rob,

I'm Leon - a Sydney developer and 2300-rated chess player who built FireChess (firechess.com), a free tool that scans your entire Chess.com or Lichess history, finds the exact openings you keep losing and the tactics you keep missing, then drills those positions until the right moves stick.

If you think it'd be a good fit for your members, just reply and I'll set you up with a free Pro account to try it yourself. You'd also earn 30% recurring commission on anyone who signs up through your link.

Happy to chat whenever.

Leon"
National Federation,Australian Chess Federation (ACF) - President,Website,auschess.org.au,10000+ registered Australian players,president@auschess.org.au,Direct Email,YES - confirmed,All levels,Free platform for Australian players + potential ACF partnership,HIGH,Free chess platform for Australian players - from a Sydney dev,"Hi Gary,

I'm Leon - a Sydney developer and 2300-rated chess player. I've built FireChess (firechess.com), a free tool that scans your entire Chess.com or Lichess history, finds the exact openings you keep losing and the tactics you keep missing, then drills those positions until the right moves stick.

If you think it'd be a good fit for your members, just reply and I'll set you up with a free Pro account to try it yourself. You'd also earn 30% recurring commission on anyone who signs up through your link.

Happy to chat whenever.

Leon"
National Federation,Australian Chess Federation (ACF) - Newsletter Editor,Website,auschess.org.au,ACF newsletter subscribers,newsletter_editor@auschess.org.au,Direct Email,YES - confirmed,All levels,Newsletter feature for free Australian chess tool,MEDIUM,Worth featuring in the ACF newsletter?,"Hi Frank,

I'm Leon - a 2300-rated chess player based in Sydney. I built FireChess (firechess.com), a free tool that scans your entire Chess.com or Lichess history, finds the exact openings you keep losing and the tactics you keep missing, then drills those positions until the right moves stick.

If you think it'd be a good fit for your members, just reply and I'll set you up with a free Pro account to try it yourself. You'd also earn 30% recurring commission on anyone who signs up through your link.

Happy to chat whenever.

Leon"
State Association - NSW,NSW Chess Association (NSWCA) - Secretary,Website,nswca.org.au,3000+ NSW chess players,secretary@nswca.org.au,Direct Email,YES - confirmed,All levels,Free platform for NSW players + local Sydney developer,HIGH,Free chess tool for NSW players - built right here in Sydney,"Hi Rob,

I'm Leon - a 2300-rated chess player and fellow Sydneysider. I've built FireChess (firechess.com), a free tool that scans your entire Chess.com or Lichess history, finds the exact openings you keep losing and the tactics you keep missing, then drills those positions until the right moves stick.

If you think it'd be a good fit for your members, just reply and I'll set you up with a free Pro account to try it yourself. You'd also earn 30% recurring commission on anyone who signs up through your link.

Happy to chat whenever.

Leon"
State Association - NSW,NSW Chess Association (NSWCA) - President,Website,nswca.org.au,3000+ NSW chess players,president@nswca.org.au,Direct Email,YES - confirmed,All levels,Free platform for NSW players + local outreach,HIGH,Free chess tool for NSW players - built right here in Sydney,"Hi Bill,

I'm Leon - a Sydney developer and 2300-rated chess player. I built FireChess (firechess.com), a free tool that scans your entire Chess.com or Lichess history, finds the exact openings you keep losing and the tactics you keep missing, then drills those positions until the right moves stick.

If you think it'd be a good fit for your members, just reply and I'll set you up with a free Pro account to try it yourself. You'd also earn 30% recurring commission on anyone who signs up through your link.

Happy to chat whenever.

Leon"
State Association - NSW,NSW Chess Association (NSWCA) - Communications Officer,Website,nswca.org.au,3000+ NSW chess players,comms@nswca.org.au,Direct Email,YES - confirmed,All levels,Worth sharing with NSW chess community?,HIGH,FireChess - worth sharing with NSW chess players?,"Hi Rupert,

I'm Leon - a Sydney developer and 2300-rated chess player who built FireChess (firechess.com), a free tool that scans your entire Chess.com or Lichess history, finds the exact openings you keep losing and the tactics you keep missing, then drills those positions until the right moves stick.

If you think it'd be a good fit for your members, just reply and I'll set you up with a free Pro account to try it yourself. You'd also earn 30% recurring commission on anyone who signs up through your link.

Happy to chat whenever.

Leon"
State Association - NSW,NSW Chess Association (NSWCA) - Club Liaison Officer,Website,nswca.org.au,NSW affiliated chess clubs,clubs@nswca.org.au,Direct Email,YES - confirmed,All levels,Free tool for NSW club members + local dev willing to demo,HIGH,Free chess tool for NSW club members - local dev,"Hi Nick,

I'm Leon - a 2300-rated chess player based in Sydney. I built FireChess (firechess.com), a free tool that scans your entire Chess.com or Lichess history, finds the exact openings you keep losing and the tactics you keep missing, then drills those positions until the right moves stick.

If you think it'd be a good fit for your members, just reply and I'll set you up with a free Pro account to try it yourself. You'd also earn 30% recurring commission on anyone who signs up through your link.

Happy to chat whenever.

Leon"
Junior Chess Organization,NSW Junior Chess League (NSWJCL) - Coordinator,Website,nswjcl.org.au,500+ NSW junior chess players,RichardGH@nswjcl.org.au,Direct Email,YES - confirmed,Beginners/Intermediate,Free training platform for NSW junior players,HIGH,Free chess training tool for NSWJCL junior players,"Hi Richard,

I'm Leon - a 2300-rated chess player based in Sydney. I built FireChess (firechess.com), a free tool that scans your entire Chess.com or Lichess history, finds the exact openings you keep losing and the tactics you keep missing, then drills those positions until the right moves stick.

If you think it'd be a good fit for your members, just reply and I'll set you up with a free Pro account to try it yourself. You'd also earn 30% recurring commission on anyone who signs up through your link.

Happy to chat whenever.

Leon"
Junior Chess Organization,NSW Junior Chess League (NSWJCL) - Administrator,Website,nswjcl.org.au,500+ NSW junior chess players,eunice.koh@nswjcl.org.au,Direct Email,YES - confirmed,Beginners/Intermediate,Free training platform for NSW junior players,MEDIUM,Free chess training tool for NSWJCL juniors,"Hi Eunice,

I'm Leon - a Sydney developer and 2300-rated chess player who built FireChess (firechess.com), a free tool that scans your entire Chess.com or Lichess history, finds the exact openings you keep losing and the tactics you keep missing, then drills those positions until the right moves stick.

If you think it'd be a good fit for your members, just reply and I'll set you up with a free Pro account to try it yourself. You'd also earn 30% recurring commission on anyone who signs up through your link.

Happy to chat whenever.

Leon"
Junior Chess Organization,Junior Online Oceania Chess League (JOOC),Website,chess.com.au,Junior players across Oceania,david@chess.com.au,Direct Email,YES - confirmed,Beginners/Intermediate,Free platform for Oceania junior chess community,MEDIUM,Free chess tool for JOOC junior players,"Hi David,

I'm Leon - a Sydney developer and 2300-rated chess player who built FireChess (firechess.com), a free tool that scans your entire Chess.com or Lichess history, finds the exact openings you keep losing and the tactics you keep missing, then drills those positions until the right moves stick.

If you think it'd be a good fit for your members, just reply and I'll set you up with a free Pro account to try it yourself. You'd also earn 30% recurring commission on anyone who signs up through your link.

Happy to chat whenever.

Leon"
State Association - VIC,Chess Victoria,Website,chessvictoria.org.au,3000+ Victorian chess players,admin@chessvictoria.com.au,Direct Email,YES - confirmed,All levels,Free platform for Victorian players + coach commissions,MEDIUM,Free chess tool for Victorian chess players,"Hi,

I'm Leon - a Sydney developer and 2300-rated chess player who built FireChess (firechess.com), a free tool that scans your entire Chess.com or Lichess history, finds the exact openings you keep losing and the tactics you keep missing, then drills those positions until the right moves stick.

If you think it'd be a good fit for your members, just reply and I'll set you up with a free Pro account to try it yourself. You'd also earn 30% recurring commission on anyone who signs up through your link.

Happy to chat whenever.

Leon"
State Association - QLD,Chess Association of Queensland (CAQ) - ACF Delegate,Website,auschess.org.au,2000+ Queensland chess players,qldcouncillor@auschess.org.au,Direct Email,YES - confirmed,All levels,Free platform for Queensland chess players + coach commissions,MEDIUM,Free chess tool for Queensland chess players,"Hi Mark,

I'm Leon - I built FireChess (firechess.com), a free tool that scans your entire Chess.com or Lichess history, finds the exact openings you keep losing and the tactics you keep missing, then drills those positions until the right moves stick.

If you think it'd be a good fit for your members, just reply and I'll set you up with a free Pro account to try it yourself. You'd also earn 30% recurring commission on anyone who signs up through your link.

Happy to chat whenever.

Leon"
State Association - ACT,ACT Chess Association (ACTCA) - ACF Delegate,Website,auschess.org.au,500+ ACT chess players,actcouncillor@auschess.org.au,Direct Email,YES - confirmed,All levels,Free platform for Canberra chess players + coach commissions,MEDIUM,Free chess tool for Canberra chess players,"Hi Cam,

I'm Leon - I built FireChess (firechess.com), a free tool that scans your entire Chess.com or Lichess history, finds the exact openings you keep losing and the tactics you keep missing, then drills those positions until the right moves stick. It's completely free for players.

If you think it'd be a good fit for your members, just reply and I'll set you up with a free Pro account to try it yourself. You'd also earn 30% recurring commission on anyone who signs up through your link.

Happy to chat whenever.

Leon"
State Association - SA,South Australian Chess Association (SACA) - ACF Delegate,Website,auschess.org.au,1000+ South Australian chess players,sacouncillor@auschess.org.au,Direct Email,YES - confirmed,All levels,Free platform for South Australian chess players + coach commissions,MEDIUM,Free chess tool for South Australian chess players,"Hi George,

I'm Leon - I built FireChess (firechess.com), a free tool that scans your entire Chess.com or Lichess history, finds the exact openings you keep losing and the tactics you keep missing, then drills those positions until the right moves stick.

If you think it'd be a good fit for your members, just reply and I'll set you up with a free Pro account to try it yourself. You'd also earn 30% recurring commission on anyone who signs up through your link.

Happy to chat whenever.

Leon"
