Category,Name,Platform,Website,Audience_Size,Contact_Email,Contact_Type,Email_Verified,Audience_Level,Outreach_Angle,Priority,Email_Subject,Email_Body
Chess Coach,IM Christof Sielecki (Keep It Simple Chess),YouTube + Coaching,keepitsimplechess.com,300K+ YouTube subs,keepitsimplechess.com/contact,Contact Form,N/A,Intermediate,Coach Partnership,HIGH,FireChess - free tool for your students,"Hey Christof,

We built FireChess (firechess.com) - it scans a student's Chess.com or Lichess games before a lesson and pinpoints their exact opening gaps. Coaches say it saves the first 10 minutes of every session.

Free Pro for you, a promo code for your students, and 30% recurring commission on upgrades through your link.

[Your name]
firechess.com"
Chess Coach,IM Kostya Kavutskiy,Chess Coach + Writer,kostjakavutskiy.com,Active coaching client base,Twitter DM @KostKavutskiy,Social DM,N/A,Intermediate-Advanced,Coach Partnership,HIGH,FireChess - tool for your coaching students,"Hey Kostya,

We built FireChess (firechess.com) - it scans a student's Chess.com or Lichess games before a lesson and shows their specific opening gaps. Coaches tell us it saves the first 10 minutes of every session.

Free Pro for you, a code for your students, 30% recurring commission on upgrades through your link.

[Your name]
firechess.com"
Chess Coach,GM Ben Finegold,YouTube + Coaching,atlantachess.org,200K+ YouTube subs,info@atlantachess.org,Direct Email,NOT CONFIRMED,Intermediate-Advanced,Coach Partnership,HIGH,FireChess - free tool for your students,"Hey Ben,

We built FireChess (firechess.com) - scans a student's Chess.com or Lichess games before a lesson and shows their exact opening problems. Would save the first 10 minutes of every session.

Free Pro for you, promo code for students, 30% recurring commission on upgrades.

[Your name]
firechess.com"
Chess Coach,GM Simon Williams (GingerGM),YouTube + Coaching,gingergm.com,200K+ YouTube subs,sales@gingergm.com,Direct Email,YES - listed on site,Intermediate-Advanced,Coach Partnership,HIGH,FireChess - tool for your students,"Hey Simon,

We built FireChess (firechess.com) - it scans a student's Chess.com or Lichess games before a lesson and shows exactly where their openings are falling apart.

Free Pro for you, a promo code for your students, and 30% recurring commission on upgrades through your link.

[Your name]
firechess.com"
Chess Coach,IM Eric Rosen,YouTube + Coaching,youtube.com/@EricRosen,600K+ YouTube subs,Twitter DM @im_rosen,Social DM,N/A,Intermediate,Coach Partnership,HIGH,FireChess - tool for your coaching students,"Hey Eric,

We built FireChess (firechess.com) - scans a student's Chess.com or Lichess games before a lesson and finds their opening leaks. Your students show up already knowing what to fix.

Free Pro for you, promo code for students, 30% recurring commission on upgrades.

[Your name]
firechess.com"
Chess Coach,IM John Bartholomew,YouTube + Chess Writing,youtube.com/@JohnBartholomewChess,600K+ YouTube subs,YouTube DM / social,Social DM,N/A,Beginner-Intermediate,Coach Partnership,HIGH,FireChess - tool for your coaching students,"Hey John,

We built FireChess (firechess.com) - it scans a student's Chess.com or Lichess games and finds their exact opening gaps before a lesson. Great tool for the systematic improvement crowd you reach.

Free Pro for you, promo code for followers, 30% recurring commission.

[Your name]
firechess.com"
Chess Coach,NM Dan Heisman,Coaching + Writing,danheisman.com,Active coaching practice,danheisman.com/contact,Contact Form,N/A,Beginner-Intermediate,Coach Partnership,HIGH,FireChess - tool for your students,"Hi Dan,

We built FireChess (firechess.com) - scans a student's Chess.com or Lichess games before a lesson and shows their specific opening gaps. Thought it would fit well with your teaching philosophy around safe play.

Free Pro for you, a code for students, 30% recurring commission on upgrades.

[Your name]
firechess.com"
Chess Coach,GM Nigel Davies (Tiger Chess),YouTube + Coaching,tigerchess.com,100K+ YouTube subs,tigerchess.com/contact,Contact Form,N/A,Intermediate,Coach Partnership,HIGH,FireChess - free tool for your students,"Hey Nigel,

We built FireChess (firechess.com) - scans a student's Chess.com or Lichess games and finds their opening leaks before a lesson. Takes under a minute.

Free Pro for you, promo code for students, 30% recurring commission on upgrades through your link.

[Your name]
firechess.com"
Chess Coach,IM Valeri Lilov (TheChessWorld),YouTube + Coaching,thechessworld.com,300K+ YouTube subs,thechessworld.com/contact,Contact Form,N/A,Intermediate,Coach + Creator Partnership,HIGH,FireChess - tool for your coaching students,"Hey Valeri,

We built FireChess (firechess.com) - it scans a student's Chess.com or Lichess games before a lesson and shows their specific opening gaps. Coaches say it saves the first 10 minutes of every session.

Free Pro for you, promo code for students, 30% recurring commission on upgrades.

[Your name]
firechess.com"
Chess Coach,GM Dejan Bojkov,Coaching + Author,bojkovchess.com,Active coaching client base,bojkovchess.com/contact,Contact Form,N/A,Intermediate-Advanced,Coach Partnership,MEDIUM,FireChess - tool for your students,"Hey Dejan,

We built FireChess (firechess.com) - it scans a student's Chess.com or Lichess games before a lesson and finds their exact opening gaps. Takes under a minute.

Free Pro for you, promo code for students, and 30% recurring commission on upgrades through your link.

[Your name]
firechess.com"
