id,tarotNumber,tarotRoman,tarotName,name,trigger,icon,description
duck-chess,0,0,The Fool,Duck Chess,passive,🦆,"After each of your moves, place your rubber duck on any empty square. The duck blocks all movement — no piece (yours or your opponent's) can enter that square. Reposition it each turn."
magician,1,I,The Magician,Manifestation,passive,🪄,"Your Queen leaps like a knight from move 1. The Amazon modifier is built-in and won't appear in your draft pool."
high-priestess,2,II,The High Priestess,Inner Vision,draft-modifier,🔮,"Each draft phase you see 1 extra modifier choice that your opponent cannot see. Your drafts stay one step ahead."
empress,3,III,The Empress,Abundance,fen-mod,🌿,"Start with 2 extra pawns on c3 and f3 (c6 and f6 for Black). A generous opening presence."
emperor,4,IV,The Emperor,Dominion,passive,👑,"Your King can move up to 2 squares in any direction (a leap — intermediate squares don't block). Authority knows no bounds."
hierophant,5,V,The Hierophant,Sacred Passage,passive,⛩️,"Your Bishops slide through your own pieces diagonally. Dragon Bishop is built-in and removed from your draft pool."
lovers,6,VI,The Lovers,The Pact,once-per-game,💞,"Once per game: swap any 2 of your own pieces (counts as your turn). The soul of sacrifice made whole."
chariot,7,VII,The Chariot,Unstoppable,passive,🚀,"Your Rooks phase through your own pieces from move 1. Phantom Rook is built-in and removed from your draft pool."
strength,8,VIII,Strength,Royal Strike,once-per-game,⚡,"Once per game: your King makes a queen-range capture from wherever it stands. The sovereign strikes without moving."
hermit,9,IX,The Hermit,Deeper Wells,draft-modifier,🕯️,"All your draft choices are drawn from 1 tier higher than the current phase (Phase 1 → Rare, Phase 2 → Epic, etc.)."
wheel-of-fortune,10,X,Wheel of Fortune,Fate's Hand,draft-modifier,🎡,"Each draft phase your choices come from a random tier between 1 and the current phase number. Chaos rewards the brave."
justice,11,XI,Justice,The Verdict,once-per-game,⚖️,"Once per game: mark one of your pieces Immune for 3 full turns. It cannot be captured by any means — standard or chaos."
hanged-man,12,XII,The Hanged Man,Inversion,passive,🙃,"Your pawns can also move 1 square backwards or capture diagonally backwards. Upside-down perspective unlocks new paths — they cannot promote by moving backwards."
death,13,XIII,Death,The Wake,passive,💀,"Whenever you capture an enemy piece worth at least a knight, a pawn spawns on the square your piece moved FROM."
temperance,14,XIV,Temperance,Rebalance,draft-modifier,🌊,"Once per draft phase: discard one of your modifier choices and draw 2 fresh replacements. Balance over randomness."
devil,15,XV,The Devil,Bargain,once-per-game,😈,"Once per game: freeze one enemy piece for 2 full turns. It cannot move or use chaos abilities. The price is paid."
tower,16,XVI,The Tower,Collapse,passive,🏗️,"Your Rooks gain 1-step diagonal movement from move 1. Dragon Rook is built-in and removed from your draft pool."
star,17,XVII,The Star,Guiding Light,passive,⭐,"All your Knights permanently gain Camel leaps (1,3 jumps) on top of their normal movement. Stars align."
moon,18,XVIII,The Moon,Nocturnal Hunt,passive,🌑,"From Turn 10 (Phase 2): your Queen can capture any adjacent diagonal enemy without physically moving (queen stays, once per turn)."
sun,19,XIX,The Sun,First Light,once-per-game,☀️,"Once per game: every eligible pawn surges forward 1 free square (skips blocked pawns and pawns that would promote), then you still make your normal move."
judgement,20,XX,Judgement,Resurrection,once-per-game,🎺,"Once per game: call back one captured piece — it returns to its original starting square (if that square is empty). The trumpet sounds."
world,21,XXI,The World,Final Act,once-per-game,🌍,"Once per game: after your opponent completes their move, take 1 free bonus move before your regular turn begins."
