Category,Name,Platform,Website,Audience_Size,Contact_Email,Contact_Type,Email_Verified,Audience_Level,Outreach_Angle,Priority,Email_Subject,Email_Body
YouTube Creator,GothamChess (Levy Rozman),YouTube + Chessly,chessly.com,"7.5M YouTube subs, 1.3M Chessly users",business@chessly.freshdesk.com,Business Inquiries,CONFIRMED - Live,Beginner to Intermediate,Creator Partnership,HIGH,"FireChess + GothamChess - quick one","Hey Levy,

Big fan of what you built with Chessly. We made FireChess - it scans a player's last few hundred games and finds the exact opening positions where they keep bleeding points. Think live demo content: drop a viewer username into the scan and watch their leaks appear in real time.

We'd love to set you up with free Pro access. If you like it, we can set up a promo code for your audience and pay you 30% recurring on every Pro upgrade through your link.

Worth a try?

[Your name]
firechess.com"
YouTube Creator / GM Streamer,Hikaru Nakamura (GMHikaru),YouTube + Twitch,hikarunakamura.com,"2M+ YouTube subs, 600K+ Twitch followers",teamhikaru@unitedtalent.com,Management (United Talent Agency),CONFIRMED - Live,All Levels (mostly advanced fans),Creator Partnership,HIGH,"FireChess x Hikaru - quick partnership pitch","Hey team,

We run FireChess, a free game analysis tool that scans hundreds of games and surfaces opening leaks and tactical patterns in under a minute. Hikaru's stream is perfect for it - paste a viewer username live and watch the breakdown appear.

We'd set up a free Pro account for Hikaru, a promo code for his chat, and 30% recurring commission on every subscriber who signs up through his link.

Worth a quick chat?

[Your name]
firechess.com"
Twitch Streamer,BotezLive (Alexandra & Andrea Botez),Twitch + YouTube,twitch.tv/botezlive,"1.3M Twitch followers, 500K+ YouTube subs",botez@evolved.gg,Management (Evolved Esports),CONFIRMED - Live,Beginner to Casual,Creator Partnership,HIGH,"quick pitch - FireChess for your audience","Hey,

We built FireChess - drop a username in and it tells you exactly why that player is stuck at their rating. Opening leaks, time trouble, tilt patterns, all in under a minute. Great for live stream content.

Happy to set you both up with free Pro access and a promo code for your chat. You'd earn 30% recurring on any Pro upgrades through your link.

Let us know if you want to try it out.

[Your name]
firechess.com"
YouTube Creator / GM,GingerGM (Simon Williams),YouTube + gingergm.com,gingergm.com,"200K+ YouTube subs, 50K+ course students",sales@gingergm.com,Direct / Sales,CONFIRMED - Live,Intermediate to Advanced,Creator + Coach Partnership,MEDIUM,"FireChess - free access + tool for your students","Hey Simon,

Love the GingerGM content. We made FireChess - it finds the specific positions where a player keeps going wrong across their games. Opening leak scanner basically: paste a username and it shows you exactly where they're hemorrhaging points.

We'd love to give you free Pro access and a code to share with your students. You earn 30% recurring on any upgrades through your link.

Happy to tell you more if it sounds useful.

[Your name]
firechess.com"
YouTube Creator,Agadmator (Antonio Radic),YouTube,youtube.com/@agadmator,"1.6M+ YouTube subs",YouTube About page (email requires sign-in) - try DM or comment,YouTube DM / Social,NOT CONFIRMED - verify via YouTube About after sign-in,All Chess Fans,Creator Partnership,MEDIUM,"FireChess - quick partnership idea","Hey Antonio,

Love the channel. We made FireChess - it scans a player's games and shows them exactly where they keep going wrong. Takes a viewer from watching great chess to actually fixing their own games.

Happy to set you up with free Pro access and 30% recurring commission on any viewers who sign up through your link. A promo code in the description takes about 30 seconds to set up.

Let me know if this sounds interesting.

[Your name]
firechess.com"
GM Streamer / Coach,Daniel Naroditsky (Danya),Twitch + YouTube + Chess.com,twitch.tv/gmnaroditsky,"337K Twitch followers, 300K+ YouTube subs",Via Chess.com partnership (contact Chess.com) or Twitter DM @DanielNaroditsky,Social / Chess.com Contact,NOT CONFIRMED - no public business email,All Levels (famous SpeedrunChess beginner content),Creator + Coach Partnership,HIGH,"FireChess - tool for your SpeedrunChess viewers","Hey Danya,

Big fan of SpeedrunChess. We built FireChess - it scans your games and shows you the exact spots where your rating is leaking. Really fits the improvement angle you teach.

Would love to set you up with free Pro access and a code for your viewers. 30% recurring on anyone who upgrades through your link.

Worth trying out?

[Your name]
firechess.com"
YouTube Creator / Streamer,Anna Cramling,YouTube + Twitch,annacramling.com,"600K+ YouTube subs, 200K+ Twitch followers",Fourthwall contact form at annacramling.com/contact or Instagram DM @annacramling,Fourthwall Contact Form / Social DM,NOT CONFIRMED - form only,Beginner to Casual,Creator Partnership,MEDIUM,"FireChess - collab idea for your audience","Hey Anna,

We built FireChess - it scans a player's last few hundred games and tells them what's holding them back. Fun content for your streams: run it live on a viewer's account and see what comes up.

We'd set you up with free Pro access and a promo code for your viewers. You earn 30% recurring on any upgrades through your link.

Let me know if you'd like to check it out.

[Your name]
firechess.com"
IM YouTube Creator,Eric Rosen,YouTube + Twitch,youtube.com/@EricRosen,"600K+ YouTube subs, 100K+ Twitch followers",YouTube About page (email requires sign-in) - try Twitter DM @im_rosen or Twitch,Social DM,NOT CONFIRMED - verify via YouTube About after sign-in,Intermediate (known for trappy/creative play),Creator Partnership,MEDIUM,"FireChess - quick collab pitch","Hey Eric,

Huge fan of your content. We made FireChess - it scans games and finds where players keep going wrong in their openings. Given your whole vibe around tricky openings and creative play, it felt like a natural fit.

Happy to set you up with free Pro access and a promo code for your audience. 30% recurring on anyone who upgrades through your link.

[Your name]
firechess.com"
IM YouTube Creator,John Bartholomew (Fins),YouTube,youtube.com/@ChessFrontiers,"350K+ YouTube subs",YouTube About page (email requires sign-in) - try Twitter DM @fins_chess,Social DM / YouTube About,NOT CONFIRMED - verify via YouTube About after sign-in,Beginner to Intermediate (famous for Chess Fundamentals series),Creator + Coach Partnership,MEDIUM,"FireChess - tool that fits your Chess Fundamentals approach","Hey John,

Big fan of the Chess Fundamentals series - it's genuinely the best beginner content out there. We built FireChess to help players see where those fundamentals are breaking down in their actual games. It scans their history and shows the exact positions where they keep going wrong.

Would love to set you up with free Pro and a promo code for your viewers. 30% recurring on any upgrades through your link.

[Your name]
firechess.com"
International Organization,FIDE (International Chess Federation),Organization,fide.com,"204 member federations worldwide",marketing@fide.com,Marketing Department,CONFIRMED - Live,All Competitive Players,Organization Partnership,MEDIUM,"FireChess - free analysis tool for FIDE community","Hi,

We run FireChess, a free chess analysis platform that scans a player's game history and helps them identify patterns costing them rating points. We think there could be a great fit with FIDE's work to support competitive players through affiliated federations and clubs.

Happy to share more details or explore what a partnership might look like.

[Your name]
firechess.com"
