Category,Name,Platform,Website,Audience_Size,Contact_Email,Contact_Type,Email_Verified,Audience_Level,Outreach_Angle,Priority,Email_Subject,Email_Body
YouTube Creator,GothamChess (Levy Rozman),YouTube + Chessly,chessly.com,"7.5M YouTube subs, 1.3M Chessly users",business@chessly.freshdesk.com,Business Inquiries,YES - confirmed,Beginner to Intermediate,Creator Partnership - free Pro + promo code + 30% commission,HIGH,FireChess + GothamChess - quick one,"Hey Levy,

Big fan of what you built with Chessly. We made FireChess - it scans a player's last few hundred games and finds the exact opening positions where they keep bleeding points. Great live content: drop a viewer username and watch their leaks appear in real time.

We would love to set you up with free Pro access. If you like it we can set up a promo code for your audience and pay you 30% recurring on every Pro upgrade through your link.

Worth a try?

[Your name]
firechess.com"
YouTube Creator / GM Streamer,Hikaru Nakamura (GMHikaru),YouTube + Twitch,hikarunakamura.com,"2M+ YouTube, 600K+ Twitch",teamhikaru@unitedtalent.com,Management (United Talent Agency),YES - confirmed,All Levels,Creator Partnership,HIGH,FireChess x Hikaru - quick partnership pitch,"Hey team,

We run FireChess, a free game analysis tool that scans hundreds of games and surfaces opening leaks and tactical patterns in under a minute. Hikaru's stream is perfect for it - paste a viewer username live and watch the breakdown appear.

We would set up a free Pro account for Hikaru, a promo code for his chat, and 30% recurring commission on every subscriber who signs up through his link.

Worth a quick chat?

[Your name]
firechess.com"
Twitch Streamer,BotezLive (Alexandra & Andrea Botez),Twitch + YouTube,twitch.tv/botezlive,"1.3M Twitch, 500K+ YouTube",botez@evolved.gg,Management (Evolved Esports),YES - confirmed,Beginner to Casual,Creator Partnership,HIGH,quick pitch - FireChess for your audience,"Hey,

We built FireChess - drop a username in and it tells you exactly why that player is stuck at their rating. Opening leaks, time trouble, tilt patterns, all in under a minute. Great for live stream content.

Happy to set you both up with free Pro access and a promo code for your chat. You would earn 30% recurring on any Pro upgrades through your link.

Let us know if you want to try it out.

[Your name]
firechess.com"
YouTube Creator / GM,GingerGM (Simon Williams),YouTube + gingergm.com,gingergm.com,"200K+ YouTube, 50K+ course students",sales@gingergm.com,Direct / Sales,YES - confirmed,Intermediate to Advanced,Creator + Coach Partnership,MEDIUM,FireChess - free access + tool for your students,"Hey Simon,

Love the GingerGM content. We made FireChess - it finds the specific positions where a player keeps going wrong across their games. Paste a username and it shows you exactly where they are hemorrhaging points.

We would love to give you free Pro access and a code to share with your students. You earn 30% recurring on any upgrades through your link.

Happy to tell you more if it sounds useful.

[Your name]
firechess.com"
YouTube Creator,Agadmator (Antonio Radic),YouTube,youtube.com/@agadmator,1.6M+ YouTube subs,YouTube DM / Twitter @agadmator,Social DM,NOT CONFIRMED - no public business email,All Chess Fans,Creator Partnership,MEDIUM,FireChess - quick partnership idea,"Hey Antonio,

Love the channel. We made FireChess - it scans a player's games and shows them exactly where they keep going wrong. Takes a viewer from watching great chess to actually fixing their own games.

Happy to set you up with free Pro access and 30% recurring commission on any viewers who sign up through your link. A promo code in the description takes about 30 seconds to set up.

Let me know if this sounds interesting.

[Your name]
firechess.com"
GM Streamer / Coach,Daniel Naroditsky (Danya),Twitch + YouTube,twitch.tv/gmnaroditsky,"337K Twitch, 300K+ YouTube",Twitter DM @DanielNaroditsky,Social DM,NOT CONFIRMED - no public business email,All Levels,Creator + Coach Partnership,HIGH,FireChess - tool for your SpeedrunChess viewers,"Hey Danya,

Big fan of SpeedrunChess. We built FireChess - it scans your games and shows you the exact spots where your rating is leaking. Really fits the improvement angle you teach.

Would love to set you up with free Pro access and a code for your viewers. 30% recurring on anyone who upgrades through your link.

Worth trying out?

[Your name]
firechess.com"
YouTube Creator / Streamer,Anna Cramling,YouTube + Twitch,annacramling.com,"600K+ YouTube, 200K+ Twitch",annacramling.com/contact,Contact Form,CONFIRMED - form exists,Beginner to Casual,Creator Partnership,MEDIUM,FireChess - collab idea for your audience,"Hey Anna,

We built FireChess - it scans a player's last few hundred games and tells them what is holding them back. Fun content for your streams: run it live on a viewer's account and see what comes up.

We would set you up with free Pro access and a promo code for your viewers. You earn 30% recurring on any upgrades through your link.

Let me know if you would like to check it out.

[Your name]
firechess.com"
IM YouTube Creator,Eric Rosen,YouTube + Twitch,youtube.com/@EricRosen,"600K+ YouTube, 100K+ Twitch",Twitter DM @im_rosen,Social DM,NOT CONFIRMED - verify via YouTube About,Intermediate,Creator Partnership,MEDIUM,FireChess - quick collab pitch,"Hey Eric,

Huge fan of your content. We made FireChess - it scans games and finds where players keep going wrong in their openings. Given your whole vibe around tricky openings and creative play, it felt like a natural fit.

Happy to set you up with free Pro access and a promo code for your audience. 30% recurring on anyone who upgrades through your link.

[Your name]
firechess.com"
IM YouTube Creator,John Bartholomew (Fins),YouTube,youtube.com/@ChessFrontiers,350K+ YouTube subs,Twitter DM @fins_chess,Social DM,NOT CONFIRMED - verify via YouTube About,Beginner to Intermediate,Creator + Coach Partnership,MEDIUM,FireChess - tool that fits your Chess Fundamentals approach,"Hey John,

Big fan of the Chess Fundamentals series. We built FireChess to help players see where those fundamentals are breaking down in their actual games. It scans their history and shows the exact positions where they keep going wrong.

Would love to set you up with free Pro and a promo code for your viewers. 30% recurring on any upgrades through your link.

[Your name]
firechess.com"
International Organization,FIDE,Organization,fide.com,204 member federations worldwide,marketing@fide.com,Marketing Department,YES - confirmed,All Competitive Players,Organization Partnership,MEDIUM,FireChess - free analysis tool for FIDE community,"Hi,

We run FireChess, a free chess analysis platform that scans a player's game history and helps them find patterns costing them rating points. We think there could be a great fit with FIDE's work to support competitive players through affiliated federations and clubs.

Happy to share more details or explore what a partnership might look like.

[Your name]
firechess.com"
Chess Platform (Major),Chess.com,Platform,chess.com,"155M+ registered users, 50M+ MAU",bizdev@chess.com,Business Development,YES - confirmed,All Levels,Co-Marketing / API Integration Discussion,HIGH,FireChess - Chess.com API integration / co-marketing angle,"Hi,

We run FireChess, a free game analysis tool that uses the Chess.com public API to pull a player's history, find their opening leaks, and turn those positions into drillable exercises. We think there might be a co-marketing angle worth a short conversation.

Happy to share more or set up a quick call.

[Your name]
firechess.com"
Chess Publisher / Software,ChessBase (Germany),Software + News,en.chessbase.com,"500K+ news readers, 1M+ software users",info@chessbase.com,General Inquiries,YES - confirmed,Intermediate to Advanced,Editorial Coverage / Partnership,MEDIUM,FireChess - worth covering for your audience?,"Hi,

We built FireChess, a free web tool that scans a player's game history and finds their opening weaknesses, then turns those positions into drillable exercises. No downloads, works in the browser.

The type of player who reads ChessBase is exactly who would get the most from it. Would you be open to covering it or exploring any partnership?

[Your name]
firechess.com"
Chess Club / Organization,Saint Louis Chess Club,Chess Club + YouTube,saintlouischessclub.org,200K+ YouTube subs,info@saintlouischessclub.org,General Inquiries,YES - confirmed,All Levels,Organization Partnership / Member Benefit,HIGH,FireChess - free analysis for your members?,"Hi,

Love what Saint Louis Chess Club has built for US chess. We run FireChess, a free game analysis tool that helps players find their specific weaknesses. Works with Chess.com and Lichess, no setup needed.

We would love to offer your members free Pro access or explore any collaboration. Happy to demo it for your team any time.

[Your name]
firechess.com"
National Organization,US Chess Federation (USCF),Organization,uschess.org,90K+ members,office@uschess.org,General Inquiries,YES - confirmed,Competitive Players,Organization Partnership / Member Tool,HIGH,FireChess - free analysis tool for USCF members,"Hi,

We run FireChess, a free chess analysis platform for competitive players. It scans a player's game history and finds opening patterns, tactical gaps, and endgame weaknesses from just their Lichess or Chess.com username.

We would love to explore making it available as a recommended tool for USCF members. Happy to connect and share more.

[Your name]
firechess.com"
Education Nonprofit,Chess in the Schools,Nonprofit / Education,chessintheschools.org,15K+ students annually (NYC),chessintheschools.org/contact-us/,Web Form,CONFIRMED - form only,Scholastic (K-12),Educational Partnership / Free Student Access,MEDIUM,FireChess - free tool for your students?,"Hi,

We run FireChess, a free browser-based tool that helps chess students see exactly where they keep making mistakes across all their games. It works with Lichess and Chess.com, takes under a minute, and gives coaches a clear breakdown of each student's patterns.

Would be happy to offer your students and coaches free Pro access. Let us know if it would be worth a quick call.

[Your name]
firechess.com"
Chess Learning Platform,Chessable (Chess.com),Online Course Platform,chessable.com,2M+ students,bizdev@chess.com,Business Development via parent,YES - via Chess.com,Intermediate to Advanced Learners,Tool Integration / Co-Promotion with course authors,MEDIUM,FireChess + Chessable course authors - partnership angle,"Hi,

We run FireChess, a free game analysis tool that identifies the specific opening positions costing a player points. It naturally surfaces which lines players need to study - and many of those are covered in Chessable courses.

There might be a nice co-promotion angle with course authors. Would love a quick chat to explore it.

[Your name]
firechess.com"
GM YouTube Creator / Coach,Remote Chess Academy (Igor Smirnov),YouTube + Courses,remotechessacademy.com,300K+ YouTube subs,contact@remotechessacademy.com,Direct Contact,PUBLIC KNOWLEDGE - verify on site,Intermediate to Advanced,Creator + Coach Partnership,MEDIUM,FireChess - complement to your coaching programs,"Hi Igor,

We built FireChess - it scans a student's game history and finds their specific opening weaknesses and tactical blindspots. Designed to show coaches exactly what to focus on in the next lesson.

Would love to offer you free Pro access and a promo code for your students. You earn 30% recurring on any upgrades through your link.

[Your name]
firechess.com"
Chess Media / News,ChessBase News (editorial),Media,en.chessbase.com,1M+ monthly readers,redaktion@chessbase.de,Editorial Team (German HQ),YES - public,Intermediate to Advanced Readers,Editorial Coverage,LOW,FireChess - free tool worth a mention?,"Hi,

We launched FireChess - it is a free tool that pulls a player's game history and finds their biggest opening leaks. No downloads, runs in the browser.

Just wanted to flag it in case it is worth a mention for your readers. Happy to share more details.

[Your name]
firechess.com"
YouTube Creator,The Chess Website (Kevin Butler),YouTube + Website,thechesswebsite.com,500K YouTube,thechesswebsite@gmail.com,Direct Email,YES - confirmed,Beginner-Intermediate,Creator Partnership,HIGH,quick question about a partnership,"Hi Kevin,

Been using The Chess Website for opening ideas - really helpful content.

I run FireChess (firechess.com), a game analysis tool that scans Chess.com or Lichess games and builds a personalized study plan in under a minute. Opening leaks, missed tactics, endgame patterns.

Wanted to see if a creator partnership would make sense. You would get free Pro access plus a promo code to share with your viewers, and 30% recurring commission on every upgrade through your link.

Leon"
Chess News Newsletter,The Week in Chess (Mark Crowther),Newsletter + Website,theweekinchess.com,50K+ weekly readers,mdcrowth@btinternet.com,Direct Email,YES - confirmed,Intermediate-Advanced,Newsletter advertising / mention,HIGH,quick advertising question for TWIC,"Hi Mark,

TWIC has been my go-to for chess news for longer than I can remember. Thanks for keeping it going all these years.

I run FireChess (firechess.com), a game analysis tool for active players. Put in your Chess.com or Lichess username and get a full breakdown of your weaknesses in under a minute.

Would a small sponsor mention in the newsletter be something you would consider? No pressure if you keep it ad-free.

Leon"
YouTube Creator / Chess News,ChessBase India (Sagar Shah),YouTube,chessbase.in,800K+ YouTube subs,superdm.com/chessbaseindia,Social DM (SuperDM),N/A,All Levels (India focus),Creator Partnership,HIGH,creator partnership idea - FireChess,"Hi Sagar,

Huge fan of what ChessBase India has built. Incredible coverage.

I run FireChess (firechess.com), a game analysis tool that scans Chess.com or Lichess games and finds where you are losing. Opening leaks, tactics missed under time pressure, endgame patterns. Takes under a minute.

Wanted to reach out about a creator partnership. Free Pro access, a promo code for your audience, 30% recurring commission. Thought it could make for a solid demo on stream too.

Leon"
YouTube Creator,Hanging Pawns (Stjepan Tomic),YouTube + Website,hangingpawns.net,290K YouTube subs,hangingpawns.net/contact,Contact Form,N/A,Intermediate-Advanced,Creator Partnership,HIGH,creator partnership - FireChess,"Hi Stjepan,

Big fan of the Hanging Pawns content. The openings series has been really useful.

I run FireChess (firechess.com). It scans your Chess.com or Lichess games and finds exactly where you are losing points. Opening leaks, missed tactics, endgame weak spots. Takes under a minute.

Wanted to see if a creator deal would work. Free Pro access, a promo code for your subscribers, 30% recurring commission on upgrades through your link.

Leon"
Chess Tactics Tool,ChessTempo,Web,chesstempo.com,Millions of registered users,support@chesstempo.com,Direct Email,YES - confirmed,Intermediate-Advanced,Cross-promo - FireChess identifies weaknesses that ChessTempo helps drill,MEDIUM,cross-promo idea - FireChess + ChessTempo,"Hi,

Wanted to reach out about a potential partnership between ChessTempo and FireChess.

FireChess (firechess.com) analyzes a player's Chess.com or Lichess games and shows them exactly where they are losing. Your users already care about finding and drilling their weaknesses. FireChess is the step before drilling - it tells you what to drill. Felt like a natural pair.

Would love to explore a mutual recommendation or a small cross-link.

Leon"
Chess Game Database,ChessGames.com,Web,chessgames.com,2M+ registered users,chess@chessgames.com,Direct Email,YES - confirmed,Intermediate-Advanced,Advertising - serious game studiers,MEDIUM,advertising question - FireChess,"Hi,

I run FireChess (firechess.com), a game analysis tool that scans Chess.com or Lichess games and builds a personalized study plan. Opening leaks, missed tactics, endgame patterns, all in under a minute.

Your database attracts exactly the players we are trying to reach - people who study games seriously.

Would you ever consider a banner ad or a small sponsored link? Happy to discuss rates or a simple cross-promotion.

Leon"
Chess Coaching Program,Chess Dojo (Jesse Kraai / Kostya Kavutskiy / Daniel Rensch),YouTube + Web,chessdojo.shop,200K YouTube,chessdojo.shop/contact,Contact Form,N/A,Intermediate (1000-2000 rated),Tool for coaches and students,MEDIUM,tool idea for Chess Dojo coaches,"Hi,

Huge fan of what Chess Dojo has built. The structured training approach is genuinely different.

I run FireChess (firechess.com). It analyzes a student's Chess.com or Lichess games before a lesson - finds opening leaks, missed tactics, endgame patterns, builds a study plan automatically. Coaches love it because students show up with real data ready.

Wanted to see if a partnership would make sense. Free access for all Dojo coaches.

Leon"
Chess Coaching Platform,ChessMood (GM Avetik Grigoryan),Web,chessmood.com,100K+ community,chessmood.com/contact,Contact Form,N/A,Intermediate-Advanced,Cross-promo - complementary improvement platforms,MEDIUM,quick partnership idea - FireChess,"Hi,

Big fan of ChessMood. The good-mood-chess approach is different from most improvement platforms out there.

I run FireChess (firechess.com). It scans a player's Chess.com or Lichess games and builds a full improvement plan. Opening leaks, tactical patterns, endgame issues, in under a minute.

Wanted to see if a cross-promo or content collaboration makes sense. Your community is exactly the kind of audience FireChess resonates with.

Leon"
Chess Podcast,Perpetual Chess Podcast (Ben Johnson),Podcast + Substack,perpetualchesspod.com,15K+ listeners per episode,benjohnson.substack.com (DM),Substack DM,N/A,Intermediate-Advanced,Podcast sponsorship / ad read,MEDIUM,podcast sponsorship - FireChess,"Hi Ben,

Been listening to Perpetual Chess for a while. The long-form interview format is really refreshing in chess media.

I run FireChess (firechess.com). It scans a player's Chess.com or Lichess games and builds a full weakness breakdown in under a minute.

Wanted to ask about a short ad spot or sponsor mention. The audience is a great fit - serious players who are actively trying to improve.

Leon"
National Federation / Coaching,chess.ie,Web,chess.ie,Irish chess market,info@chess.ie,Direct Email,YES - confirmed,All Levels,Coach tool - student arrives with game data already analyzed,MEDIUM,tool for your coaches - FireChess,"Hi,

Came across chess.ie and liked what you are building for online chess coaching in Ireland.

I run FireChess (firechess.com). It analyzes a student's Chess.com or Lichess games and gives coaches a full breakdown before the lesson starts. Opening leaks, missed tactics, endgame patterns.

Would love to set up free access for your coaches. Could be a solid value-add for premium students too.

Leon"
National Federation,English Chess Federation (ECF),Organization,englishchess.org.uk,10K+ members,office@englishchess.org.uk,Direct Email,YES - confirmed,All Levels,Member benefit - free tool for ECF players,LOW,free tool for ECF members - FireChess,"Hi,

Wanted to reach out about a possible member benefit for ECF players.

FireChess (firechess.com) analyzes Chess.com or Lichess games and builds a personalized study plan in under a minute. Opening weaknesses, missed tactics, endgame patterns. Works at every level.

Would the ECF be interested in offering a free trial or discounted access to members? Happy to discuss a simple mention in club communications.

Leon"
Chess Books / Media,ChessCafe.com,Web,chesscafe.com,100K+ monthly readers,chesscafe.com (form only),Web Form,N/A,Intermediate-Advanced,Sponsored article / banner ad,LOW,advertising idea - FireChess,"Hi,

I run FireChess (firechess.com), a free game analysis tool for serious chess players. It scans Chess.com or Lichess games and finds the exact positions draining your rating.

ChessCafe has exactly the right audience. Would you consider a small banner ad or sponsored article?

Leon"
National Federation,German Chess Federation (DSB),Organization,schachbund.de,90K+ members,presse@schachbund.com,Direct Email,YES - confirmed,All Levels,Partnership / member tool / press coverage,MEDIUM,free game analysis tool for DSB members - FireChess,"Hi,

We run FireChess (firechess.com), a free chess analysis platform that pulls a player's game history from Chess.com or Lichess and builds a personalized study plan in under a minute.

We wanted to reach out about making it available for DSB members or getting a brief mention in your communications. Happy to discuss any format that works.

[Your name]
firechess.com"
National Federation,French Chess Federation (FFE),Organization,ffechecs.fr,10K+ members,contact@ffechecs.fr,Direct Email,YES - confirmed,All Levels,Partnership / member tool,MEDIUM,outil gratuit pour les joueurs FFE - FireChess,"Bonjour,

Nous avons cree FireChess (firechess.com), un outil gratuit qui analyse les parties d'un joueur sur Chess.com ou Lichess et identifie les failles d'ouverture, les erreurs tactiques et les lacunes en finale.

Nous serions ravis de l'offrir comme ressource gratuite aux joueurs FFE ou d'explorer toute collaboration. N'hesitez pas a nous contacter pour en savoir plus.

[Your name]
firechess.com"
National Federation,Dutch Chess Federation (KNSB / Schaakbond),Organization,schaakbond.nl,35K+ members,bondsbureau@schaakbond.nl,Direct Email,YES - confirmed,All Levels,Partnership / member tool,MEDIUM,gratis analysetool voor KNSB-leden - FireChess,"Goedendag,

We hebben FireChess gemaakt (firechess.com), een gratis analysetool die een speler's partijen van Chess.com of Lichess scant en openingszwakten, gemiste tactiek en eindspelpatronen in kaart brengt.

We willen dit graag aanbieden aan KNSB-leden of een samenwerking verkennen. Neem gerust contact op.

[Your name]
firechess.com"
