Category,Name,Platform,Website,Audience_Size,Contact_Email,Contact_Type,Email_Verified,Audience_Level,Outreach_Angle,Priority,Email_Subject,Email_Body
National Federation,FIDE (International Chess Federation),Website,fide.com,"200+ national federations, 2M+ players",marketing@fide.com,Direct Email,YES - confirmed,International,Free training platform for FIDE coaches + partnership,HIGH,Free training tool idea for FIDE community,"Hi FIDE team,

I'm Leon, a 2300-rated chess player, and I built FireChess (firechess.com), a free tool that scans your entire Chess.com or Lichess history, finds the exact openings you keep losing and the tactics you keep missing, then drills those positions until the right moves stick.

If you think it'd be a good fit for your members, just reply and I'll set you up with a free Pro account to try it yourself. You'd also earn 30% recurring commission on anyone who signs up through your link.

Happy to chat whenever.

Leon"
National Federation,US Chess (USCF),Website,uschess.org,90000+ members,office@uschess.org,Direct Email,YES - confirmed,National,Free tool for USCF members + coach partnership,HIGH,Free chess training for US Chess members,"Hi US Chess team,

I'm Leon, a 2300-rated chess player, and I built FireChess (firechess.com) - a free tool that scans your entire Chess.com or Lichess history, finds the exact openings you keep losing and the tactics you keep missing, then drills those positions until the right moves stick

If you think it'd be a good fit for your members, just reply and I'll set you up with a free Pro account to try it yourself. You'd also earn 30% recurring commission on anyone who signs up through your link.

Happy to chat whenever.

Leon"
National Federation,English Chess Federation (ECF),Website,englishchess.org.uk,30000+ members,office@englishchess.org.uk,Direct Email,YES - confirmed,National,Free tool for ECF members + coach Pro access,HIGH,Free training tool for ECF members,"Hi ECF team,

I'm Leon, a 2300-rated chess player, and I built FireChess (firechess.com) - a free tool that scans your entire Chess.com or Lichess history, finds the exact openings you keep losing and the tactics you keep missing, then drills those positions until the right moves stick

If you think it'd be a good fit for your members, just reply and I'll set you up with a free Pro account to try it yourself. You'd also earn 30% recurring commission on anyone who signs up through your link.

Happy to chat whenever.

Leon"
National Federation,German Chess Federation (DSB),Website,schachbund.de,85000+ members,presse@schachbund.com,Direct Email,YES - confirmed,National,Free training tool for German chess community + press,HIGH,Kostenloses Trainingswerkzeug fur DSB-Mitglieder,"Hi DSB press team,

I'm Leon, a 2300-rated chess player, and I built FireChess (firechess.com) - a free tool that scans your entire Chess.com or Lichess history, finds the exact openings you keep losing and the tactics you keep missing, then drills those positions until the right moves stick

If you think it'd be a good fit for your members, just reply and I'll set you up with a free Pro account to try it yourself. You'd also earn 30% recurring commission on anyone who signs up through your link.

Happy to chat whenever.

Leon"
National Federation,French Chess Federation (FFE),Website,ffechecs.fr,50000+ licensed players,contact@ffechecs.fr,Direct Email,YES - confirmed,National,Free training tool for FFE members + coach partnership,HIGH,Outil gratuit pour les joueurs de la FFE,"Hi FFE team,

I'm Leon, a 2300-rated chess player, and I built FireChess (firechess.com) - a free tool that scans your entire Chess.com or Lichess history, finds the exact openings you keep losing and the tactics you keep missing, then drills those positions until the right moves stick.

If you think it'd be a good fit for your members, just reply and I'll set you up with a free Pro account to try it yourself. You'd also earn 30% recurring commission on anyone who signs up through your link.

Happy to chat whenever.

Leon"
National Federation,All India Chess Federation (AICF),Website,aicfchess.org,100000+ registered players,indianchessfed@gmail.com,Direct Email,YES - confirmed,National,Free training tool for AICF members + coach partnership,HIGH,Free chess training for AICF players,"Hi AICF team,

I'm Leon, a 2300-rated chess player, and I built FireChess (firechess.com) - a free tool that scans your entire Chess.com or Lichess history, finds the exact openings you keep losing and the tactics you keep missing, then drills those positions until the right moves stick

If you think it'd be a good fit for your members, just reply and I'll set you up with a free Pro account to try it yourself. You'd also earn 30% recurring commission on anyone who signs up through your link.

Happy to chat whenever.

Leon"
National Federation,Dutch Chess Federation (KNSB),Website,schaakbond.nl,22000+ members,bondsbureau@schaakbond.nl,Direct Email,YES - confirmed,National,Free training tool for KNSB members + coach Pro,MEDIUM,Free training platform for KNSB community,"Hi KNSB team,

I'm Leon, a 2300-rated chess player, and I built FireChess (firechess.com) - a free tool that scans your entire Chess.com or Lichess history, finds the exact openings you keep losing and the tactics you keep missing, then drills those positions until the right moves stick

If you think it'd be a good fit for your members, just reply and I'll set you up with a free Pro account to try it yourself. You'd also earn 30% recurring commission on anyone who signs up through your link.

Happy to chat whenever.

Leon"
National Federation,Polish Chess Federation (PZSzach),Website,pzszach.pl,30000+ members,biuro@pzszach.pl,Direct Email,YES - confirmed,National,Free training tool for Polish chess players,MEDIUM,Free chess training platform for PZSzach,"Hi PZSzach team,

I'm Leon, a 2300-rated chess player, and I built FireChess (firechess.com) - a free tool that scans your entire Chess.com or Lichess history, finds the exact openings you keep losing and the tactics you keep missing, then drills those positions until the right moves stick.

If you think it'd be a good fit for your members, just reply and I'll set you up with a free Pro account to try it yourself. You'd also earn 30% recurring commission on anyone who signs up through your link.

Happy to chat whenever.

Leon"
National Federation,Norwegian Chess Federation (NSF),Website,sjakk.no,15000+ members,nsf@sjakk.no,Direct Email,YES - confirmed,National,Free training tool for Norwegian chess players,MEDIUM,Free chess training for NSF members,"Hi NSF team,

I'm Leon, a 2300-rated chess player, and I built FireChess (firechess.com) - a free tool that scans your entire Chess.com or Lichess history, finds the exact openings you keep losing and the tactics you keep missing, then drills those positions until the right moves stick

If you think it'd be a good fit for your members, just reply and I'll set you up with a free Pro account to try it yourself. You'd also earn 30% recurring commission on anyone who signs up through your link.

Happy to chat whenever.

Leon"
National Federation,Swiss Chess Federation (SSB),Website,swisschess.ch,15000+ members,office@swisschess.ch,Direct Email,YES - confirmed,National,Free training tool for Swiss chess players,MEDIUM,Free training platform for SSB community,"Hi SSB team,

I'm Leon, a 2300-rated chess player, and I built FireChess (firechess.com) - a free tool that scans your entire Chess.com or Lichess history, finds the exact openings you keep losing and the tactics you keep missing, then drills those positions until the right moves stick

If you think it'd be a good fit for your members, just reply and I'll set you up with a free Pro account to try it yourself. You'd also earn 30% recurring commission on anyone who signs up through your link.

Happy to chat whenever.

Leon"
National Federation,Czech Chess Federation (SSCR),Website,chess.cz,18000+ members,sekretariat@chess.cz,Direct Email,YES - confirmed,National,Free training tool for Czech chess players,MEDIUM,Free chess training for SSCR members,"Hi SSCR team,

I'm Leon, a 2300-rated chess player, and I built FireChess (firechess.com) - a free tool that scans your entire Chess.com or Lichess history, finds the exact openings you keep losing and the tactics you keep missing, then drills those positions until the right moves stick

If you think it'd be a good fit for your members, just reply and I'll set you up with a free Pro account to try it yourself. You'd also earn 30% recurring commission on anyone who signs up through your link.

Happy to chat whenever.

Leon"
National Federation,Belgian Chess Federation (FRBE),Website,frbe-kbsb-ksb.be,10000+ members,info@frbe-kbsb-ksb.be,Direct Email,YES - confirmed,National,Free training tool for Belgian chess community,MEDIUM,Free training platform for FRBE members,"Hi FRBE team,

I'm Leon, a 2300-rated chess player, and I built FireChess (firechess.com) - a free tool that scans your entire Chess.com or Lichess history, finds the exact openings you keep losing and the tactics you keep missing, then drills those positions until the right moves stick

If you think it'd be a good fit for your members, just reply and I'll set you up with a free Pro account to try it yourself. You'd also earn 30% recurring commission on anyone who signs up through your link.

Happy to chat whenever.

Leon"
National Federation,Chess Ireland,Website,chess.ie,5000+ members,info@chess.ie,Direct Email,YES - confirmed,National,Free training tool for Irish chess players + coach program,MEDIUM,Free chess training for Irish players,"Hi Chess Ireland team,

I'm Leon, a 2300-rated chess player, and I built FireChess (firechess.com) - a free tool that scans your entire Chess.com or Lichess history, finds the exact openings you keep losing and the tactics you keep missing, then drills those positions until the right moves stick

If you think it'd be a good fit for your members, just reply and I'll set you up with a free Pro account to try it yourself. You'd also earn 30% recurring commission on anyone who signs up through your link.

Happy to chat whenever.

Leon"
National Federation,Chess Scotland,Website,chessscotland.com,5000+ members,president@chessscotland.com,Direct Email,YES - confirmed,National,Free training tool for Scottish chess players,MEDIUM,Free chess training for Chess Scotland members,"Hi Chess Scotland,

I'm Leon, a 2300-rated chess player, and I built FireChess (firechess.com) - a free tool that scans your entire Chess.com or Lichess history, finds the exact openings you keep losing and the tactics you keep missing, then drills those positions until the right moves stick

If you think it'd be a good fit for your members, just reply and I'll set you up with a free Pro account to try it yourself. You'd also earn 30% recurring commission on anyone who signs up through your link.

Happy to chat whenever.

Leon"
National Federation,Hungarian Chess Federation,Website,chess.hu,20000+ members,titkarsag@chess.hu,Direct Email,YES - confirmed,National,Free training tool for Hungarian chess players,MEDIUM,Free training platform for Hungarian chess community,"Hi Hungarian Chess Federation team,

I'm Leon, a 2300-rated chess player, and I built FireChess (firechess.com) - a free tool that scans your entire Chess.com or Lichess history, finds the exact openings you keep losing and the tactics you keep missing, then drills those positions until the right moves stick

If you think it'd be a good fit for your members, just reply and I'll set you up with a free Pro account to try it yourself. You'd also earn 30% recurring commission on anyone who signs up through your link.

Happy to chat whenever.

Leon"
National Federation,Chess South Africa (CHESSA),Website,chessa.co.za,5000+ members,generalsecretary@chessa.co.za,Direct Email,YES - confirmed,National,Free training tool for South African chess players,MEDIUM,Free chess training for CHESSA players,"Hi CHESSA team,

I'm Leon, a 2300-rated chess player, and I built FireChess (firechess.com) - a free tool that scans your entire Chess.com or Lichess history, finds the exact openings you keep losing and the tactics you keep missing, then drills those positions until the right moves stick

If you think it'd be a good fit for your members, just reply and I'll set you up with a free Pro account to try it yourself. You'd also earn 30% recurring commission on anyone who signs up through your link.

Happy to chat whenever.

Leon"
National Federation,Australian Chess Federation (ACF),Website,auschess.org.au,10000+ members,secretary@auschess.org.au,Direct Email,YES - confirmed,National,Free training tool for Australian chess players,MEDIUM,Free training platform for ACF members,"Hi ACF team,

I'm Leon, a 2300-rated chess player, and I built FireChess (firechess.com) - a free tool that scans your entire Chess.com or Lichess history, finds the exact openings you keep losing and the tactics you keep missing, then drills those positions until the right moves stick

If you think it'd be a good fit for your members, just reply and I'll set you up with a free Pro account to try it yourself. You'd also earn 30% recurring commission on anyone who signs up through your link.

Happy to chat whenever.

Leon"
National Federation,New Zealand Chess Federation (NZCF),Website,newzealandchess.co.nz,3000+ members,president@newzealandchess.co.nz,Direct Email,YES - confirmed,National,Free training tool for NZ chess players,MEDIUM,Free chess training for NZCF members,"Hi NZCF team,

I'm Leon, a 2300-rated chess player, and I built FireChess (firechess.com) - a free tool that scans your entire Chess.com or Lichess history, finds the exact openings you keep losing and the tactics you keep missing, then drills those positions until the right moves stick

If you think it'd be a good fit for your members, just reply and I'll set you up with a free Pro account to try it yourself. You'd also earn 30% recurring commission on anyone who signs up through your link.

Happy to chat whenever.

Leon"
Provincial Association,Alberta Chess Association (Canada),Website,albertachess.org,1500+ members,albertachess@gmail.com,Direct Email,YES - confirmed,Regional,Free training tool for Alberta chess players + newsletter mention,MEDIUM,Free chess training for Alberta Chess members,"Hi Alberta Chess team,

I'm Leon, a 2300-rated chess player, and I built FireChess (firechess.com) - a free tool that scans your entire Chess.com or Lichess history, finds the exact openings you keep losing and the tactics you keep missing, then drills those positions until the right moves stick

If you think it'd be a good fit for your members, just reply and I'll set you up with a free Pro account to try it yourself. You'd also earn 30% recurring commission on anyone who signs up through your link.

Happy to chat whenever.

Leon"
State Association,Tennessee Chess Association,Website,tnchess.us,1000+ members,clmullinax@lenoircityschools.net,Direct Email,YES - confirmed,Regional,Free training tool for TN chess players + newsletter,MEDIUM,Free chess training for Tennessee players,"Hi Christina,

I'm Leon, a 2300-rated chess player, and I built FireChess (firechess.com) - a free tool that scans your entire Chess.com or Lichess history, finds the exact openings you keep losing and the tactics you keep missing, then drills those positions until the right moves stick

If you think it'd be a good fit for your members, just reply and I'll set you up with a free Pro account to try it yourself. You'd also earn 30% recurring commission on anyone who signs up through your link.

Happy to chat whenever.

Leon"
State Association,NC Chess Association (NCCA),Website,ncchess.org,2000+ members,secretaryncca@gmail.com,Direct Email,YES - confirmed,Regional,Free training tool for NC chess players + newsletter,MEDIUM,Free chess training for North Carolina players,"Hi NCCA team,

I'm Leon, a 2300-rated chess player, and I built FireChess (firechess.com) - a free tool that scans your entire Chess.com or Lichess history, finds the exact openings you keep losing and the tactics you keep missing, then drills those positions until the right moves stick

If you think it'd be a good fit for your members, just reply and I'll set you up with a free Pro account to try it yourself. You'd also earn 30% recurring commission on anyone who signs up through your link.

Happy to chat whenever.

Leon"
